,0
627,0.990675
628,0.9907
629,0.990725
630,0.99075
631,0.990775
632,0.9908
633,0.990825
634,0.99085
635,0.990875
636,0.9909
637,0.990925
638,0.99095
639,0.9909749999999999
640,0.991
641,0.991025
642,0.99105
643,0.991075
644,0.9911
645,0.991125
646,0.99115
647,0.991175
648,0.9912
649,0.991225
650,0.99125
651,0.991275
652,0.9913
653,0.991325
654,0.99135
655,0.991375
656,0.9914
657,0.991425
658,0.9914499999999999
659,0.991475
660,0.9915
661,0.991525
662,0.99155
663,0.991575
664,0.9916
665,0.991625
666,0.99165
667,0.991675
668,0.9917
669,0.991725
670,0.99175
671,0.991775
672,0.9918
673,0.991825
674,0.99185
675,0.991875
676,0.9919
677,0.991925
678,0.99195
679,0.9919749999999999
680,0.992
681,0.992025
682,0.99205
683,0.992075
684,0.9921
685,0.992125
686,0.99215
687,0.992175
688,0.9922
689,0.992225
690,0.99225
691,0.992275
692,0.9923
693,0.992325
694,0.99235
695,0.992375
696,0.9924
697,0.992425
698,0.9924499999999999
699,0.992475
700,0.9924999999999999
701,0.992525
702,0.99255
703,0.992575
704,0.9926
705,0.992625
706,0.99265
707,0.992675
708,0.9927
709,0.992725
710,0.99275
711,0.992775
712,0.9928
713,0.992825
714,0.99285
715,0.992875
716,0.9929
717,0.992925
718,0.99295
719,0.9929749999999999
720,0.993
721,0.993025
722,0.99305
723,0.993075
724,0.9931
725,0.993125
726,0.99315
727,0.993175
728,0.9932
729,0.993225
730,0.99325
731,0.993275
732,0.9933
733,0.993325
734,0.99335
735,0.993375
736,0.9934
737,0.993425
738,0.9934499999999999
739,0.993475
740,0.9935
741,0.993525
742,0.99355
743,0.993575
744,0.9936
745,0.993625
746,0.99365
747,0.993675
748,0.9937
749,0.993725
750,0.99375
751,0.993775
752,0.9938
753,0.993825
754,0.99385
755,0.993875
756,0.9939
757,0.993925
758,0.99395
759,0.9939749999999999
760,0.994
761,0.994025
762,0.99405
763,0.994075
764,0.9941
765,0.994125
766,0.99415
767,0.994175
768,0.9942
769,0.994225
770,0.99425
771,0.994275
772,0.9943
773,0.994325
774,0.99435
775,0.994375
776,0.9944
777,0.994425
778,0.99445
779,0.994475
780,0.9944999999999999
781,0.994525
782,0.99455
783,0.994575
784,0.9946
785,0.994625
786,0.99465
787,0.994675
788,0.9947
789,0.994725
790,0.99475
791,0.994775
792,0.9948
793,0.994825
794,0.99485
795,0.994875
796,0.9949
797,0.994925
798,0.99495
799,0.9949749999999999
800,0.995
801,0.995025
802,0.99505
803,0.995075
804,0.9951
805,0.995125
806,0.99515
807,0.995175
808,0.9952
809,0.995225
810,0.99525
811,0.995275
812,0.9953
813,0.995325
814,0.99535
815,0.995375
816,0.9954
817,0.995425
818,0.99545
819,0.995475
820,0.9955
821,0.995525
822,0.99555
823,0.995575
824,0.9956
825,0.995625
826,0.99565
827,0.995675
828,0.9957
829,0.995725
830,0.99575
831,0.995775
832,0.9958
833,0.995825
834,0.99585
835,0.995875
836,0.9959
837,0.995925
838,0.99595
839,0.9959749999999999
840,0.996
841,0.996025
842,0.99605
843,0.996075
844,0.9961
845,0.996125
846,0.99615
847,0.996175
848,0.9962
849,0.996225
850,0.99625
851,0.996275
852,0.9963
853,0.996325
854,0.99635
855,0.996375
856,0.9964
857,0.996425
858,0.99645
859,0.996475
860,0.9964999999999999
861,0.996525
862,0.99655
863,0.996575
864,0.9966
865,0.996625
866,0.99665
867,0.996675
868,0.9967
869,0.996725
870,0.99675
871,0.996775
872,0.9968
873,0.996825
874,0.99685
875,0.996875
876,0.9969
877,0.996925
878,0.99695
879,0.996975
880,0.997
881,0.997025
882,0.99705
883,0.997075
884,0.9971
885,0.997125
886,0.99715
887,0.997175
888,0.9972
889,0.997225
890,0.99725
891,0.997275
892,0.9973
893,0.997325
894,0.99735
895,0.997375
896,0.9974
897,0.997425
898,0.99745
899,0.997475
900,0.9975
901,0.997525
902,0.99755
903,0.997575
904,0.9976
905,0.997625
906,0.99765
907,0.997675
908,0.9977
909,0.997725
910,0.99775
911,0.997775
912,0.9978
913,0.997825
914,0.99785
915,0.997875
916,0.9979
917,0.997925
918,0.99795
919,0.997975
920,0.998
921,0.998025
922,0.99805
923,0.998075
924,0.9981
925,0.998125
926,0.99815
927,0.998175
928,0.9982
929,0.998225
930,0.99825
931,0.998275
932,0.9983
933,0.998325
934,0.99835
935,0.998375
936,0.9984
937,0.998425
938,0.99845
939,0.998475
940,0.9984999999999999
941,0.998525
942,0.99855
943,0.998575
944,0.9986
945,0.998625
946,0.99865
947,0.998675
948,0.9987
949,0.998725
950,0.99875
951,0.998775
952,0.9988
953,0.998825
954,0.99885
955,0.998875
956,0.9989
957,0.998925
958,0.99895
959,0.998975
960,0.999
961,0.999025
962,0.99905
963,0.999075
964,0.9991
965,0.999125
966,0.99915
967,0.999175
968,0.9992
969,0.999225
970,0.99925
971,0.999275
972,0.9993
973,0.999325
974,0.99935
975,0.999375
976,0.9994
977,0.999425
978,0.99945
979,0.999475
980,0.9995
981,0.999525
982,0.99955
983,0.999575
984,0.9996
985,0.999625
986,0.99965
987,0.999675
988,0.9997
989,0.999725
990,0.99975
991,0.999775
992,0.9998
993,0.999825
994,0.99985
995,0.999875
996,0.9999
997,0.999925
998,0.99995
999,0.999975
1000,1.0
